Data Set 2:Time(s),Data Set 2:Force 1(N),Data Set 2:Force 2(N),Total Force,Integral of force,,
0.96,-0.123626709,-0.151405334,0.275032043,,,
0.965,-0.127815247,-0.13458252,0.262397767,,,
0.97,-0.136199951,-0.119857788,0.256057739,,,
0.975,-0.136199951,-0.109344482,0.245544433,,,
0.98,-0.134101868,-0.096733093,0.230834961,,,
0.985,-0.134101868,-0.084114075,0.218215943,,,
0.99,-0.138290405,-0.075698853,0.213989258,,,
0.995,-0.152961731,-0.06098175,0.213943481,,,
1,-0.148773193,-0.056777954,0.205551147,,,
1.005,-0.150863647,-0.054672241,0.205535888,,,
1.01,-0.150863647,-0.054672241,0.205535888,,,
1.015,-0.148773193,-0.048362732,0.197135925,,,
1.02,-0.14667511,-0.037849426,0.184524536,,,
1.025,-0.152961731,-0.039955139,0.19291687,,,
1.03,-0.155059814,-0.016822815,0.171882629,,,
1.035,-0.161346436,-0.027336121,0.188682557,,,
1.04,-0.165534973,-0.035751343,0.201286316,,,
1.045,-0.165534973,-0.042060852,0.207595825,,,
1.05,-0.16343689,-0.046264648,0.209701538,,,
1.055,-0.173912048,-0.042060852,0.2159729,,,
1.06,-0.169723511,-0.046264648,0.215988159,,,
1.065,-0.16343689,-0.048362732,0.211799622,,,
1.07,-0.167633057,-0.052574158,0.220207215,,,
1.075,-0.169723511,-0.050468445,0.220191956,,,
1.08,-0.167633057,-0.06098175,0.228614807,,,
1.085,-0.161346436,-0.054672241,0.216018677,,,
1.09,-0.161346436,-0.052574158,0.213920594,,,
1.095,-0.167633057,-0.048362732,0.215995789,,,
1.1,-0.167633057,-0.048362732,0.215995789,,,
1.105,-0.167633057,-0.046264648,0.213897705,,,
1.11,-0.16343689,-0.018928528,0.182365418,,,
1.115,-0.157150269,-0.035751343,0.192901612,,,
1.12,-0.165534973,-0.042060852,0.207595825,,,
1.125,-0.159248352,-0.048362732,0.207611084,,,
1.13,-0.16343689,-0.050468445,0.213905335,,,
1.135,-0.152961731,-0.010513306,0.163475037,,,
1.14,-0.155059814,-0.023132324,0.178192138,,,
1.145,-0.157150269,-0.027336121,0.18448639,,,
1.15,-0.150863647,-0.037849426,0.188713073,,,
1.155,-0.148773193,-0.031539917,0.18031311,,,
1.16,-0.144577026,-0.03364563,0.178222656,,,
1.165,-0.140388489,-0.037849426,0.178237915,,,
1.17,-0.12991333,-0.029441833,0.159355163,,,
1.175,-0.132011414,-0.03364563,0.165657044,,,
1.18,-0.134101868,-0.023132324,0.157234192,,,
1.185,-0.132011414,-0.027336121,0.159347535,,,
1.19,-0.127815247,-0.023132324,0.150947571,,,
1.195,-0.132011414,-0.029441833,0.161453247,,,
1.2,-0.136199951,-0.023132324,0.159332275,,,
1.205,-0.134101868,-0.027336121,0.161437989,,,
1.21,-0.136199951,-0.025238037,0.161437988,,,
1.215,-0.125724792,-0.035751343,0.161476135,,,
1.22,-0.12991333,-0.027336121,0.157249451,,,
1.225,-0.12991333,-0.029441833,0.159355163,,,
1.23,-0.123626709,-0.021026611,0.14465332,,,
1.235,-0.132011414,0.006309509,0.125701905,,,
1.24,-0.12991333,-0.002105713,0.132019043,,,
1.245,-0.12991333,-0.012619019,0.142532349,,,
1.25,-0.144577026,-0.016822815,0.161399841,,,
1.255,-0.138290405,-0.029441833,0.167732238,,,
1.26,-0.132011414,-0.021026611,0.153038025,,,
1.265,-0.138290405,-0.027336121,0.165626526,,,
1.27,-0.136199951,-0.039955139,0.17615509,,,
1.275,-0.12991333,-0.03364563,0.16355896,,,
1.28,-0.132011414,-0.031539917,0.163551331,,,
1.285,-0.134101868,-0.023132324,0.157234192,,,
1.29,-0.136199951,-0.027336121,0.163536072,,,
1.295,-0.138290405,-0.029441833,0.167732238,,,
1.3,-0.132011414,-0.035751343,0.167762757,,,
1.305,-0.148773193,-0.025238037,0.17401123,,,
1.31,-0.134101868,-0.027336121,0.161437989,,,
1.315,-0.132011414,-0.03364563,0.165657044,,,
1.32,-0.142486572,-0.006309509,0.148796081,,,
1.325,-0.138290405,-0.021026611,0.159317016,,,
1.33,-0.138290405,-0.023132324,0.161422729,,,
1.335,-0.140388489,-0.029441833,0.169830322,,,
1.34,-0.14667511,-0.014724731,0.161399841,,,
1.345,-0.144577026,-0.012619019,0.157196045,,,
1.35,-0.142486572,-0.018928528,0.1614151,,,
1.355,-0.138290405,-0.025238037,0.163528442,,,
1.36,-0.148773193,-0.027336121,0.176109314,,,
1.365,-0.148773193,-0.031539917,0.18031311,,,
1.37,-0.150863647,-0.03364563,0.184509277,,,
1.375,-0.150863647,-0.025238037,0.176101684,,,
1.38,-0.132011414,-0.031539917,0.163551331,,,
1.385,-0.136199951,-0.037849426,0.174049377,,,
1.39,-0.144577026,-0.031539917,0.176116943,,,
1.395,-0.140388489,-0.029441833,0.169830322,,,
1.4,-0.136199951,-0.042060852,0.178260803,,,
1.405,-0.150863647,-0.037849426,0.188713073,,,
1.41,-0.148773193,-0.018928528,0.167701721,,,
1.415,-0.140388489,-0.025238037,0.165626526,,,
1.42,-0.155059814,-0.03364563,0.188705444,,,
1.425,-0.150863647,-0.025238037,0.176101684,,,
1.43,-0.144577026,-0.03364563,0.178222656,,,
1.435,-0.148773193,-0.039955139,0.188728332,,,
1.44,-0.14667511,-0.023132324,0.169807434,,,
1.445,-0.148773193,0.006309509,0.142463684,,,
1.45,-0.157150269,0.002098083,0.155052186,,,
1.455,-0.148773193,-0.018928528,0.167701721,,,
1.46,-0.165534973,-0.029441833,0.194976806,,,
1.465,-0.152961731,-0.035751343,0.188713074,,,
1.47,-0.150863647,-0.03364563,0.184509277,,,
1.475,-0.150863647,-0.035751343,0.18661499,,,
1.48,-0.148773193,-0.035751343,0.184524536,,,
1.485,-0.159248352,-0.039955139,0.199203491,,,
1.49,-0.150863647,-0.037849426,0.188713073,,,
1.495,-0.14667511,-0.029441833,0.176116943,,,
1.5,-0.148773193,-0.03364563,0.182418823,,,
1.505,-0.148773193,-0.035751343,0.184524536,,,
1.51,-0.148773193,-0.042060852,0.190834045,,,
1.515,-0.152961731,-0.03364563,0.186607361,,,
1.52,-0.144577026,-0.031539917,0.176116943,,,
1.525,-0.144577026,-0.039955139,0.184532165,,,
1.53,-0.144577026,-0.010513306,0.155090332,,,
1.535,-0.140388489,-0.018928528,0.159317017,,,
1.54,-0.142486572,-0.031539917,0.174026489,,,
1.545,-0.148773193,-0.03364563,0.182418823,,,
1.55,-0.144577026,0,0.144577026,,,
1.555,-0.150863647,-0.016822815,0.167686462,,,
1.56,-0.150863647,-0.014724731,0.165588378,,,
1.565,-0.150863647,-0.023132324,0.173995971,,,
1.57,-0.157150269,-0.039955139,0.197105408,,,
1.575,-0.14667511,-0.029441833,0.176116943,,,
1.58,-0.148773193,-0.03364563,0.182418823,,,
1.585,-0.148773193,-0.031539917,0.18031311,,,
1.59,-0.142486572,-0.027336121,0.169822693,,,
1.595,-0.14667511,-0.039955139,0.186630249,,,
1.6,-0.148773193,-0.03364563,0.182418823,,,
1.605,-0.157150269,-0.031539917,0.188690186,,,
1.61,-0.152961731,-0.031539917,0.184501648,,,
1.615,-0.152961731,-0.035751343,0.188713074,,,
1.62,-0.136199951,-0.021026611,0.157226562,,,
1.625,-0.14667511,-0.031539917,0.178215027,,,
1.63,-0.142486572,-0.042060852,0.184547424,,,
1.635,-0.155059814,-0.035751343,0.190811157,,,
