Data Set 5:Time(s),Data Set 5:Force 1(N),Data Set 5:Force 2(N),
5.855,-0.8570099,-1.5855103,2.4425202
5.86,-0.8130035,-1.5245285,2.337532
5.865,-0.7711029,-1.4404221,2.211525
5.87,-0.722908,-1.3710251,2.0939331
5.875,-0.6809998,-1.2848129,1.9658127
5.88,-0.6474686,-1.2301407,1.8776093
5.885,-0.6181335,-1.1796722,1.7978057
5.89,-0.58461,-1.1313095,1.7159195
5.895,-0.5678482,-1.0808411,1.6486893
5.9,-0.5427017,-1.0282669,1.5709686
5.905,-0.5049896,-0.9862137,1.4912033
5.91,-0.4840317,-0.9020996,1.3861313
5.915,-0.4546967,-0.8642502,1.3189469
5.92,-0.4253616,-0.8200912,1.2454528
5.925,-0.4002151,-0.7717285,1.1719436
5.93,-0.3792648,-0.7464981,1.1257629
5.935,-0.3583069,-0.7107468,1.0690537
5.94,-0.3478317,-0.6644897,1.0123214
5.945,-0.3373566,-0.6350479,0.9724045
5.95,-0.3122101,-0.6140213,0.9262314
5.955,-0.3163986,-0.5761719,0.8925705
5.96,-0.3122101,-0.5383148,0.8505249
5.965,-0.3184967,-0.5067749,0.8252716
5.97,-0.303833,-0.4857483,0.7895813
5.975,-0.2975464,-0.4478989,0.7454453
5.98,-0.2786865,-0.4373856,0.7160721
5.985,-0.2682114,-0.3995361,0.6677475
5.99,-0.251442,-0.418457,0.669899
5.995,-0.2556381,-0.431076,0.6867141
6,-0.2661133,-0.4499969,0.7161102
6.005,-0.280777,-0.4647217,0.7454987
6.01,-0.2912598,-0.4773407,0.7686005
6.015,-0.303833,-0.4941559,0.7979889
6.02,-0.3205948,-0.5067749,0.8273697
6.025,-0.3247833,-0.5067749,0.8315582
6.03,-0.3226852,-0.4668198,0.789505
6.035,-0.3184967,-0.462616,0.7811127
6.04,-0.3080215,-0.4689255,0.776947
6.045,-0.2912598,-0.4563065,0.7475663
6.05,-0.2661133,-0.4331818,0.6992951
6.055,-0.2325897,-0.4079437,0.6405334
6.06,-0.2053452,-0.3742981,0.5796433
6.065,-0.1801987,-0.3406525,0.5208512
6.07,-0.1613464,-0.3133163,0.4746627
6.075,-0.1466751,-0.290184,0.4368591
6.08,-0.1278152,-0.2733688,0.401184
6.085,-0.1131516,-0.2649536,0.3781052
6.09,-0.0984802,-0.2334137,0.3318939
6.095,-0.0942917,-0.2418213,0.336113
6.1,-0.0901031,-0.2502365,0.3403396
6.105,-0.0880051,-0.2649536,0.3529587
6.11,-0.0838165,-0.2712631,0.3550796
6.115,-0.0691452,-0.2670593,0.3362045
6.12,-0.0628586,-0.243927,0.3067856
6.125,-0.0733337,-0.2607498,0.3340835
6.13,-0.0670547,-0.2607498,0.3278045
6.135,-0.0649567,-0.2691574,0.3341141
6.14,-0.05867,-0.2733688,0.3320388
6.145,-0.0628586,-0.2754669,0.3383255
6.15,-0.0649567,-0.2859802,0.3509369
6.155,-0.0628586,-0.2964935,0.3593521
6.16,-0.0628586,-0.2943954,0.357254
6.165,-0.056572,-0.290184,0.346756
6.17,-0.0607681,-0.290184,0.3509521
6.175,-0.056572,-0.2880859,0.3446579
6.18,-0.0544815,-0.2775726,0.3320541
6.185,-0.05867,-0.2733688,0.3320388
6.19,-0.0649567,-0.2544403,0.319397
6.195,-0.0775299,-0.2502365,0.3277664
6.2,-0.0796204,-0.2502365,0.3298569
6.205,-0.0817184,-0.2523346,0.334053
6.21,-0.0733337,-0.2292099,0.3025436
6.215,-0.0796204,-0.2460327,0.3256531
6.22,-0.0796204,-0.2502365,0.3298569
6.225,-0.0921936,-0.256546,0.3487396
6.23,-0.1005783,-0.2586441,0.3592224
6.235,-0.0942917,-0.2523346,0.3466263
6.24,-0.0921936,-0.2586441,0.3508377
6.245,-0.0921936,-0.2628479,0.3550415
6.25,-0.0921936,-0.2607498,0.3529434
6.255,-0.0880051,-0.2544403,0.3424454
6.26,-0.0880051,-0.2418213,0.3298264
6.265,-0.0733337,-0.2355118,0.3088455
6.27,-0.0691452,-0.2355118,0.304657
6.275,-0.0691452,-0.2271042,0.2962494
6.28,-0.05867,-0.2292099,0.2878799
6.285,-0.0544815,-0.2165909,0.2710724
6.29,-0.0481949,-0.2144852,0.2626801
6.295,-0.0356216,-0.2018738,0.2374954
6.3,-0.0377121,-0.1619186,0.1996307
6.305,-0.0314331,-0.1619186,0.1933517
6.31,-0.0272369,-0.1619186,0.1891555
6.315,-0.0377121,-0.1577148,0.1954269
6.32,-0.0251465,-0.1492996,0.1744461
6.325,-0.0209503,-0.1450958,0.1660461
6.33,-0.0188599,-0.1198578,0.1387177
6.335,-0.0230484,-0.1240692,0.1471176
6.34,-0.0209503,-0.1261673,0.1471176
6.345,-0.0167618,-0.1177597,0.1345215
6.35,-0.0083771,-0.1240692,0.1324463
6.355,-0.0125732,-0.1198578,0.132431
6.36,-0.0041885,-0.1177597,0.1219482
6.365,-0.0125732,-0.1114502,0.1240234
6.37,-0.0083771,-0.1114502,0.1198273
6.375,-0.0083771,-0.103035,0.1114121
6.38,-0.0062866,-0.103035,0.1093216
6.385,-0.0062866,-0.1093445,0.1156311
6.39,-0.0167618,-0.1009369,0.1176987
6.395,-0.0083771,-0.0967331,0.1051102
6.4,-0.0083771,-0.1009369,0.109314
6.405,-0.0041885,-0.0609818,0.0651703
6.41,-0.0104752,-0.0799103,0.0903855
6.415,-0.0125732,-0.0862198,0.098793
6.42,0.00418854,-0.0483627,0.04417416
6.425,0.00209808,-0.0651855,0.06308742
6.43,-0.0020905,-0.0778046,0.0798951
6.435,-4.44E-16,-0.0799103,7.99E-02
6.44,-0.0104752,-0.0736008,0.084076
6.445,-0.0041885,-0.0714951,0.0756836
6.45,-0.0104752,-0.0736008,0.084076
6.455,-0.0104752,-0.0778046,0.0882798
6.46,-0.0062866,-0.0778046,0.0840912
6.465,-0.0083771,-0.0778046,0.0861817
6.47,-0.0125732,-0.0778046,0.0903778
6.475,-0.0188599,-0.069397,0.0882569
6.48,-0.0125732,-0.0672913,0.0798645
6.485,-0.0104752,-0.0778046,0.0882798
6.49,-0.0104752,-0.0736008,0.084076
6.495,-0.0083771,-0.069397,0.0777741
6.5,-0.0209503,-0.069397,0.0903473
6.505,-0.0167618,-0.0336456,0.0504074
6.51,-0.0020905,-0.0210266,0.0231171
6.515,-0.0062866,-0.0399551,0.0462417
6.52,-0.0083771,-0.0525742,0.0609513
6.525,-0.0041885,-0.0504684,0.0546569
6.53,-0.0104752,-0.0588837,0.0693589
6.535,-4.44E-16,-0.0651855,6.52E-02
6.54,-0.0041885,-0.0672913,0.0714798
6.545,-0.0041885,-0.0651855,0.069374
6.55,-0.0083771,-0.0736008,0.0819779
6.555,-0.0062866,-0.0778046,0.0840912
6.56,-0.0062866,-0.0778046,0.0840912
6.565,-0.0083771,-0.0736008,0.0819779
6.57,-0.0020905,-0.069397,0.0714875
6.575,-0.0104752,-0.069397,0.0798722
6.58,-0.0146637,-0.0756989,0.0903626
6.585,-0.0146637,-0.0778046,0.0924683
6.59,-0.0167618,-0.0778046,0.0945664
6.595,-0.0230484,-0.0736008,0.0966492
6.6,-0.0146637,-0.0672913,0.081955
6.605,-0.0146637,-0.0714951,0.0861588
6.61,-0.0209503,-0.0714951,0.0924454
6.615,-0.0167618,-0.0420609,0.0588227
6.62,-0.0188599,-0.0525742,0.0714341
6.625,-0.0146637,-0.0672913,0.081955
6.63,-0.0083771,-0.0357513,0.0441284
6.635,-0.0146637,-0.0546722,0.0693359
6.64,-0.0188599,-0.069397,0.0882569
6.645,-0.0230484,-0.0714951,0.0945435
6.65,-0.0167618,-0.0672913,0.0840531
6.655,-0.0125732,-0.0714951,0.0840683
6.66,-0.0188599,-0.0714951,0.090355
6.665,-0.0230484,-0.0736008,0.0966492
6.67,-0.0188599,-0.0714951,0.090355
6.675,-0.0104752,-0.0799103,0.0903855
6.68,-0.0041885,-0.0841141,0.0883026
6.685,-0.0125732,-0.0736008,0.086174
6.69,-0.0146637,-0.0736008,0.0882645
6.695,-0.0062866,-0.0736008,0.0798874
6.7,-0.0146637,-0.0820084,0.0966721
6.705,-0.0104752,-0.0778046,0.0882798
6.71,-0.0146637,-0.0756989,0.0903626
6.715,-0.0188599,-0.0736008,0.0924607
6.72,-0.0146637,-0.0189285,0.0335922
6.725,-0.0209503,-0.0441589,0.0651092
6.73,-0.0146637,-0.0630875,0.0777512
6.735,-0.0167618,-0.0630875,0.0798493
6.74,-0.0230484,-0.0714951,0.0945435
6.745,-0.0251465,-0.0778046,0.1029511
6.75,-0.0209503,-0.0799103,0.1008606
6.755,-0.0188599,-0.0736008,0.0924607
6.76,-0.0146637,-0.0820084,0.0966721
6.765,-0.0230484,-0.0841141,0.1071625
6.77,-0.0272369,-0.0841141,0.111351
6.775,-0.0167618,-0.0820084,0.0987702
6.78,-0.0188599,-0.0736008,0.0924607
6.785,-0.0209503,-0.0820084,0.1029587
6.79,-0.0188599,-0.0778046,0.0966645
6.795,-0.0335236,-0.0799103,0.1134339
6.8,-0.0209503,-0.0756989,0.0966492
6.805,-0.0209503,-0.0820084,0.1029587
6.81,-0.0020905,-0.0420609,0.0441514
6.815,-0.0083771,-0.0609818,0.0693589
6.82,-0.0209503,-0.069397,0.0903473
6.825,-0.0209503,-0.0820084,0.1029587
6.83,-0.0209503,-0.0609818,0.0819321
6.835,-0.0104752,-0.0651855,0.0756607
6.84,-0.0146637,-0.0714951,0.0861588
6.845,-0.0230484,-0.069397,0.0924454
6.85,-0.0251465,-0.069397,0.0945435
6.855,-0.0209503,-0.0672913,0.0882416
6.86,-0.0146637,-0.0778046,0.0924683
6.865,-0.0209503,-0.0820084,0.1029587
6.87,-0.0251465,-0.0799103,0.1050568
6.875,-0.0146637,-0.0841141,0.0987778
6.88,-0.0251465,-0.0820084,0.1071549
6.885,-0.0230484,-0.0820084,0.1050568
6.89,-0.0230484,-0.0883179,0.1113663
6.895,-0.0209503,-0.0883179,0.1092682
6.9,-0.0230484,-0.0883179,0.1113663
6.905,-0.0251465,-0.0841141,0.1092606
6.91,-0.0251465,-0.0841141,0.1092606
6.915,-0.0230484,-0.0862198,0.1092682
6.92,-0.0251465,-0.0841141,0.1092606
6.925,-0.0188599,-0.0862198,0.1050797
6.93,-0.0209503,-0.0778046,0.0987549
6.935,-0.0209503,-0.0462646,0.0672149
6.94,-0.0314331,-0.0609818,0.0924149
6.945,-0.0230484,-0.0736008,0.0966492
6.95,-0.0230484,-0.0756989,0.0987473
6.955,-0.0251465,-0.0714951,0.0966416
6.96,-0.0335236,-0.0714951,0.1050187
6.965,-0.0209503,-0.0714951,0.0924454
6.97,-0.0188599,-0.0799103,0.0987702
6.975,-0.0251465,-0.0778046,0.1029511
6.98,-0.0146637,-0.0820084,0.0966721
6.985,-0.0167618,-0.0820084,0.0987702
6.99,-0.0230484,-0.0778046,0.100853
6.995,-0.0251465,-0.0756989,0.1008454
7,-0.0272369,-0.0756989,0.1029358
7.005,-0.0188599,-0.0862198,0.1050797
7.01,-0.0209503,-0.0799103,0.1008606
7.015,-0.0230484,-0.0778046,0.100853
7.02,-0.0167618,-0.0630875,0.0798493
7.025,-0.0146637,-0.0736008,0.0882645
7.03,-0.0146637,-0.0778046,0.0924683
7.035,-0.0230484,-0.0841141,0.1071625
7.04,-0.0188599,-0.0525742,0.0714341
7.045,-0.0251465,-0.0672913,0.0924378
7.05,-0.0272369,-0.0756989,0.1029358
7.055,-0.0251465,-0.0736008,0.0987473
7.06,-0.0230484,-0.0778046,0.100853
7.065,-0.0251465,-0.0862198,0.1113663
7.07,-0.0314331,-0.0862198,0.1176529
7.075,-0.029335,-0.0883179,0.1176529
7.08,-0.0272369,-0.0883179,0.1155548
7.085,-0.0314331,-0.0820084,0.1134415
7.09,-0.0251465,-0.0946274,0.1197739
7.095,-0.0356216,-0.0925217,0.1281433
7.1,-0.0272369,-0.0883179,0.1155548
7.105,-0.0398102,-0.0946274,0.1344376
7.11,-0.0230484,-0.0756989,0.0987473
7.115,-0.029335,-0.0799103,0.1092453
7.12,-0.0209503,-0.0925217,0.113472
7.125,-0.029335,-0.0946274,0.1239624
7.13,-0.0272369,-0.0820084,0.1092453
7.135,-0.0335236,-0.0841141,0.1176377
7.14,-0.0251465,-0.0841141,0.1092606
7.145,-0.0335236,-0.0525742,0.0860978
7.15,-0.0188599,-0.0672913,0.0861512
7.155,-0.0251465,-0.0820084,0.1071549
7.16,-0.0251465,-0.0841141,0.1092606
7.165,-0.0230484,-0.0841141,0.1071625
7.17,-0.0230484,-0.0778046,0.100853
7.175,-0.0335236,-0.0799103,0.1134339
7.18,-0.029335,-0.0778046,0.1071396
7.185,-0.0251465,-0.0862198,0.1113663
7.19,-0.0251465,-0.0883179,0.1134644
7.195,-0.0377121,-0.0883179,0.12603
7.2,-0.0272369,-0.0862198,0.1134567
7.205,-0.0230484,-0.0904236,0.113472
7.21,-0.0272369,-0.0883179,0.1155548
7.215,-0.0251465,-0.0862198,0.1113663
7.22,-0.0251465,-0.0883179,0.1134644
7.225,-0.0251465,-0.0841141,0.1092606
7.23,-0.0188599,-0.069397,0.0882569
7.235,-0.0314331,-0.0714951,0.1029282
7.24,-0.0251465,-0.0820084,0.1071549
7.245,-0.0230484,-0.069397,0.0924454
7.25,-0.0230484,-0.0630875,0.0861359
7.255,-0.0272369,-0.0820084,0.1092453
7.26,-0.0251465,-0.0799103,0.1050568
7.265,-0.0272369,-0.0820084,0.1092453
7.27,-0.0251465,-0.0883179,0.1134644
7.275,-0.029335,-0.0883179,0.1176529
7.28,-0.029335,-0.0967331,0.1260681
7.285,-0.0272369,-0.0883179,0.1155548
7.29,-0.0335236,-0.0946274,0.128151
7.295,-0.029335,-0.0946274,0.1239624
7.3,-0.0272369,-0.0925217,0.1197586
7.305,-0.0356216,-0.0883179,0.1239395
7.31,-0.029335,-0.0946274,0.1239624
7.315,-0.0398102,-0.0841141,0.1239243
7.32,-0.0230484,-0.0525742,0.0756226
7.325,-0.029335,-0.0651855,0.0945205
7.33,-0.0209503,-0.0778046,0.0987549
7.335,-0.0272369,-0.0841141,0.111351
7.34,-0.0188599,-0.0862198,0.1050797
7.345,-0.0272369,-0.0862198,0.1134567
7.35,-0.0251465,-0.0862198,0.1113663
7.355,-0.0272369,-0.0483627,0.0755996
7.36,-0.0209503,-0.069397,0.0903473
7.365,-0.0230484,-0.0756989,0.0987473
7.37,-0.0251465,-0.0841141,0.1092606
7.375,-0.0272369,-0.0925217,0.1197586
7.38,-0.029335,-0.0862198,0.1155548
7.385,-0.0272369,-0.0904236,0.1176605
7.39,-0.0272369,-0.0883179,0.1155548
7.395,-0.0272369,-0.0904236,0.1176605
7.4,-0.029335,-0.0862198,0.1155548
7.405,-0.0335236,-0.0883179,0.1218415
7.41,-0.029335,-0.069397,0.098732
7.415,-0.029335,-0.0799103,0.1092453
7.42,-0.0272369,-0.0799103,0.1071472
7.425,-0.0272369,-0.0904236,0.1176605
7.43,-0.0272369,-0.0841141,0.111351
7.435,-0.0356216,-0.0925217,0.1281433
7.44,-0.0335236,-0.0946274,0.128151
7.445,-0.0314331,-0.0988312,0.1302643
7.45,-0.0356216,-0.0967331,0.1323547
7.455,-0.0230484,-0.0988312,0.1218796
7.46,-0.0272369,-0.0672913,0.0945282
7.465,-0.0272369,-0.0756989,0.1029358
7.47,-0.0209503,-0.0756989,0.0966492
7.475,-0.0272369,-0.0883179,0.1155548
7.48,-0.0230484,-0.0988312,0.1218796
7.485,-0.0230484,-0.0946274,0.1176758
7.49,-0.0314331,-0.0862198,0.1176529
7.495,-0.0314331,-0.0925217,0.1239548
7.5,-0.0230484,-0.0841141,0.1071625
7.505,-0.0230484,-0.0862198,0.1092682
7.51,-0.0230484,-0.0883179,0.1113663
7.515,-0.029335,-0.0862198,0.1155548
7.52,-0.0314331,-0.0883179,0.119751
7.525,-0.0314331,-0.0883179,0.119751
7.53,-0.0272369,-0.0588837,0.0861206
7.535,-0.0209503,-0.0672913,0.0882416
7.54,-0.029335,-0.0778046,0.1071396
7.545,-0.0314331,-0.0820084,0.1134415
7.55,-0.0314331,-0.0862198,0.1176529
7.555,-0.0272369,-0.0862198,0.1134567
7.56,-0.0251465,-0.0483627,0.0735092
7.565,-0.0230484,-0.0609818,0.0840302
7.57,-0.0272369,-0.0756989,0.1029358
7.575,-0.029335,-0.0841141,0.1134491
7.58,-0.0272369,-0.0883179,0.1155548
7.585,-0.029335,-0.0925217,0.1218567
7.59,-0.0335236,-0.0862198,0.1197434
7.595,-0.0356216,-0.0841141,0.1197357
7.6,-0.0335236,-0.0862198,0.1197434
7.605,-0.0314331,-0.0862198,0.1176529
7.61,-0.029335,-0.0988312,0.1281662
7.615,-0.0314331,-0.0925217,0.1239548
7.62,-0.0314331,-0.069397,0.1008301
7.625,-0.0230484,-0.0820084,0.1050568
7.63,-0.0209503,-0.0946274,0.1155777
7.635,-0.0251465,-0.0841141,0.1092606
7.64,-0.0272369,-0.0883179,0.1155548
7.645,-0.0272369,-0.0883179,0.1155548
7.65,-0.0335236,-0.0883179,0.1218415
7.655,-0.029335,-0.0883179,0.1176529
7.66,-0.0272369,-0.0946274,0.1218643
7.665,-0.0167618,-0.0841141,0.1008759
7.67,-0.0314331,-0.0525742,0.0840073
7.675,-0.0230484,-0.069397,0.0924454
7.68,-0.0251465,-0.0799103,0.1050568
7.685,-0.0230484,-0.0904236,0.113472
7.69,-0.0314331,-0.0820084,0.1134415
7.695,-0.0335236,-0.0925217,0.1260453
7.7,-0.029335,-0.0862198,0.1155548
7.705,-0.0251465,-0.0820084,0.1071549
7.71,-0.0209503,-0.056778,0.0777283
7.715,-0.0104752,-0.0672913,0.0777665
7.72,-0.0272369,-0.0736008,0.1008377
7.725,-0.0209503,-0.0778046,0.0987549
7.73,-0.0251465,-0.0820084,0.1071549
7.735,-0.0188599,-0.0862198,0.1050797
7.74,-0.029335,-0.0904236,0.1197586
7.745,-0.0230484,-0.0946274,0.1176758
7.75,-0.0419083,-0.1009369,0.1428452
7.755,-0.0335236,-0.0967331,0.1302567
7.76,-0.0272369,-0.0946274,0.1218643
7.765,-0.0209503,-0.0925217,0.113472
7.77,-0.0272369,-0.0736008,0.1008377
7.775,-0.0251465,-0.0672913,0.0924378
7.78,-0.0272369,-0.0820084,0.1092453
7.785,-0.0251465,-0.0904236,0.1155701
7.79,-0.0209503,-0.0925217,0.113472
7.795,-0.0251465,-0.0946274,0.1197739
7.8,-0.029335,-0.0904236,0.1197586
7.805,-0.0335236,-0.0904236,0.1239472
7.81,-0.0356216,-0.0946274,0.130249
7.815,-0.0377121,-0.0925217,0.1302338
7.82,-0.0314331,-0.0883179,0.119751
7.825,-0.0356216,-0.0946274,0.130249
7.83,-0.0314331,-0.0714951,0.1029282
7.835,-0.0356216,-0.0841141,0.1197357
7.84,-0.0314331,-0.0883179,0.119751
7.845,-0.0314331,-0.0862198,0.1176529
7.85,-0.0335236,-0.0904236,0.1239472
7.855,-0.0272369,-0.0904236,0.1176605
7.86,-0.0335236,-0.0946274,0.128151
7.865,-0.0398102,-0.0904236,0.1302338
7.87,-0.0272369,-0.0841141,0.111351
7.875,-0.0335236,-0.1009369,0.1344605
7.88,-0.0356216,-0.0525742,0.0881958
7.885,-0.0356216,-0.069397,0.1050186
7.89,-0.0356216,-0.0799103,0.1155319
7.895,-0.0251465,-0.0841141,0.1092606
7.9,-0.0335236,-0.0925217,0.1260453
7.905,-0.0314331,-0.0967331,0.1281662
7.91,-0.0272369,-0.0904236,0.1176605
7.915,-0.0230484,-0.0820084,0.1050568
7.92,-0.0251465,-0.0609818,0.0861283
7.925,-0.0230484,-0.069397,0.0924454
7.93,-0.0209503,-0.0799103,0.1008606
7.935,-0.029335,-0.0778046,0.1071396
7.94,-0.0335236,-0.0820084,0.115532
7.945,-0.0314331,-0.0820084,0.1134415
7.95,-0.0356216,-0.0778046,0.1134262
7.955,-0.0335236,-0.0883179,0.1218415
7.96,-0.0460968,-0.0841141,0.1302109
7.965,-0.029335,-0.0904236,0.1197586
7.97,-0.0356216,-0.0925217,0.1281433
7.975,-0.029335,-0.0883179,0.1176529
7.98,-0.0314331,-0.0883179,0.119751
7.985,-0.029335,-0.0525742,0.0819092
7.99,-0.0377121,-0.069397,0.1071091
7.995,-0.0188599,-0.0736008,0.0924607
8,-0.0272369,-0.0756989,0.1029358
8.005,-0.0272369,-0.0841141,0.111351
8.01,-0.0209503,-0.0630875,0.0840378
8.015,-0.0209503,-0.0756989,0.0966492
8.02,-0.0356216,-0.0841141,0.1197357
8.025,-0.0314331,-0.0820084,0.1134415
8.03,-0.0314331,-0.0904236,0.1218567
8.035,-0.0314331,-0.0925217,0.1239548
8.04,-0.0356216,-0.0862198,0.1218414
8.045,-0.0377121,-0.0904236,0.1281357
8.05,-0.0314331,-0.0904236,0.1218567
8.055,-0.0272369,-0.0841141,0.111351
8.06,-0.0356216,-0.0904236,0.1260452
8.065,-0.0335236,-0.0799103,0.1134339
8.07,-0.0356216,-0.0820084,0.11763
8.075,-0.0230484,-0.0841141,0.1071625
8.08,-0.0356216,-0.0862198,0.1218414
8.085,-0.0356216,-0.0841141,0.1197357
8.09,-0.029335,-0.069397,0.098732
8.095,-0.0377121,-0.0672913,0.1050034
8.1,-0.0251465,-0.0756989,0.1008454
8.105,-0.0209503,-0.0799103,0.1008606
8.11,-0.029335,-0.0862198,0.1155548
8.115,-0.0335236,-0.0820084,0.115532
8.12,-0.0335236,-0.0862198,0.1197434
8.125,-0.0314331,-0.0841141,0.1155472
8.13,-0.0230484,-0.0672913,0.0903397
8.135,-0.0230484,-0.0820084,0.1050568
8.14,-0.0335236,-0.0820084,0.115532
8.145,-0.0356216,-0.0799103,0.1155319
8.15,-0.0230484,-0.069397,0.0924454
8.155,-0.029335,-0.0820084,0.1113434
8.16,-0.0314331,-0.0736008,0.1050339
8.165,-0.0377121,-0.0904236,0.1281357
8.17,-0.0377121,-0.0946274,0.1323395
8.175,-0.0377121,-0.0946274,0.1323395
8.18,-0.0356216,-0.0925217,0.1281433
8.185,-0.0314331,-0.0841141,0.1155472
8.19,-0.029335,-0.0904236,0.1197586
8.195,-0.0314331,-0.0925217,0.1239548
8.2,-0.0356216,-0.0630875,0.0987091
8.205,-0.0335236,-0.0714951,0.1050187
8.21,-0.0230484,-0.0756989,0.0987473
8.215,-0.0272369,-0.0841141,0.111351
8.22,-0.0209503,-0.0756989,0.0966492
8.225,-0.029335,-0.0799103,0.1092453
8.23,-0.029335,-0.0904236,0.1197586
8.235,-0.0314331,-0.0904236,0.1218567
8.24,-0.029335,-0.0862198,0.1155548
8.245,-0.0419083,-0.0841141,0.1260224
8.25,-0.0439987,-0.0862198,0.1302185
8.255,-0.0398102,-0.0841141,0.1239243
8.26,-0.0377121,-0.0862198,0.1239319
8.265,-0.029335,-0.0883179,0.1176529
8.27,-0.0398102,-0.0904236,0.1302338
8.275,-0.0398102,-0.0967331,0.1365433
8.28,-0.0356216,-0.0841141,0.1197357
8.285,-0.0314331,-0.0862198,0.1176529
8.29,-0.0398102,-0.0883179,0.1281281
8.295,-0.0377121,-0.0925217,0.1302338
8.3,-0.0356216,-0.0546722,0.0902938
8.305,-0.0377121,-0.0672913,0.1050034
8.31,-0.0251465,-0.0462646,0.0714111
8.315,-0.0209503,-0.0672913,0.0882416
8.32,-0.029335,-0.0820084,0.1113434
8.325,-0.0356216,-0.0799103,0.1155319
8.33,-0.0272369,-0.0841141,0.111351
8.335,-0.0314331,-0.0862198,0.1176529
8.34,-0.0314331,-0.0883179,0.119751
8.345,-0.0356216,-0.0841141,0.1197357
8.35,-0.0439987,-0.0799103,0.123909
8.355,-0.0356216,-0.0904236,0.1260452
8.36,-0.0335236,-0.0904236,0.1239472
8.365,-0.0439987,-0.0904236,0.1344223
8.37,-0.0356216,-0.0841141,0.1197357
8.375,-0.0314331,-0.0841141,0.1155472
8.38,-0.0251465,-0.0862198,0.1113663
8.385,-0.0230484,-0.0820084,0.1050568
8.39,-0.0251465,-0.0967331,0.1218796
8.395,-0.0356216,-0.0967331,0.1323547
8.4,-0.0377121,-0.0546722,0.0923843
8.405,-0.0377121,-0.069397,0.1071091
8.41,-0.029335,-0.0736008,0.1029358
8.415,-0.0335236,-0.0883179,0.1218415
8.42,-0.029335,-0.0967331,0.1260681
8.425,-0.0230484,-0.0862198,0.1092682
8.43,-0.0188599,-0.0525742,0.0714341
8.435,-0.0188599,-0.0736008,0.0924607
8.44,-0.0251465,-0.0820084,0.1071549
8.445,-0.0167618,-0.0841141,0.1008759
8.45,-0.0272369,-0.0883179,0.1155548
8.455,-0.0314331,-0.0841141,0.1155472
8.46,-0.0398102,-0.0862198,0.12603
8.465,-0.0398102,-0.0883179,0.1281281
8.47,-0.0356216,-0.0841141,0.1197357
8.475,-0.029335,-0.0841141,0.1134491
8.48,-0.0251465,-0.0778046,0.1029511
8.485,-0.0230484,-0.0925217,0.1155701
8.49,-0.029335,-0.0904236,0.1197586
8.495,-0.0439987,-0.0841141,0.1281128
8.5,-0.0356216,-0.0883179,0.1239395
8.505,-0.0377121,-0.0883179,0.12603
8.51,-0.0356216,-0.0546722,0.0902938
8.515,-0.0335236,-0.0714951,0.1050187
8.52,-0.0314331,-0.0630875,0.0945206
8.525,-0.0272369,-0.0756989,0.1029358
8.53,-0.0356216,-0.0799103,0.1155319
8.535,-0.0335236,-0.0756989,0.1092225
8.54,-0.0356216,-0.0756989,0.1113205
8.545,-0.0272369,-0.0841141,0.111351
8.55,-0.029335,-0.0946274,0.1239624
8.555,-0.0335236,-0.0904236,0.1239472
8.56,-0.0460968,-0.0904236,0.1365204
8.565,-0.0356216,-0.0925217,0.1281433
8.57,-0.0356216,-0.0904236,0.1260452
8.575,-0.029335,-0.0988312,0.1281662
8.58,-0.0335236,-0.0904236,0.1239472
8.585,-0.0335236,-0.0862198,0.1197434
8.59,-0.0335236,-0.0883179,0.1218415
8.595,-0.029335,-0.0904236,0.1197586
8.6,-0.029335,-0.0946274,0.1239624
8.605,-0.0272369,-0.0904236,0.1176605
8.61,-0.0251465,-0.0168228,0.0419693
8.615,-0.029335,-0.0462646,0.0755996
8.62,-0.0377121,-0.0672913,0.1050034
8.625,-0.0251465,-0.0736008,0.0987473
8.63,-0.0272369,-0.0799103,0.1071472
8.635,-0.0398102,-0.0820084,0.1218186
8.64,-0.0251465,-0.0904236,0.1155701
8.645,-0.0230484,-0.0862198,0.1092682
8.65,-0.0272369,-0.0946274,0.1218643
8.655,-0.029335,-0.0820084,0.1113434
8.66,-0.0335236,-0.0862198,0.1197434
8.665,-0.029335,-0.0778046,0.1071396
8.67,-0.0272369,-0.0841141,0.111351
8.675,-0.0314331,-0.0862198,0.1176529
8.68,-0.0335236,-0.0904236,0.1239472
8.685,-0.0335236,-0.0841141,0.1176377
8.69,-0.0356216,-0.0862198,0.1218414
8.695,-0.0356216,-0.0841141,0.1197357
8.7,-0.0272369,-0.0841141,0.111351
8.705,-0.0356216,-0.0820084,0.11763
8.71,-0.0335236,-0.0841141,0.1176377
8.715,-0.0398102,-0.0946274,0.1344376
8.72,-0.029335,-0.0609818,0.0903168
8.725,-0.0251465,-0.0714951,0.0966416
8.73,-0.0125732,-0.0525742,0.0651474
8.735,-0.0272369,-0.0672913,0.0945282
8.74,-0.0335236,-0.0736008,0.1071244
8.745,-0.0439987,-0.0778046,0.1218033
8.75,-0.0335236,-0.0799103,0.1134339
8.755,-0.0356216,-0.0799103,0.1155319
8.76,-0.0356216,-0.0841141,0.1197357
8.765,-0.0419083,-0.0820084,0.1239167
8.77,-0.0398102,-0.0799103,0.1197205
8.775,-0.0356216,-0.0841141,0.1197357
8.78,-0.0356216,-0.0841141,0.1197357
8.785,-0.0419083,-0.0862198,0.1281281
8.79,-0.0356216,-0.0925217,0.1281433
