Data Set 5:Time(s),Data Set 5:Force 1(N),Data Set 5:Force 2(N),
1.505,-0.5406036,-0.4079437,0.9485473
1.51,-0.5427017,-0.4163589,0.9590606
1.515,-0.5343246,-0.4247665,0.9590911
1.52,-0.5385132,-0.4247665,0.9632797
1.525,-0.5510864,-0.4268723,0.9779587
1.53,-0.5406036,-0.4100494,0.950653
1.535,-0.5489883,-0.418457,0.9674453
1.54,-0.5385132,-0.4226608,0.961174
1.545,-0.5343246,-0.4247665,0.9590911
1.55,-0.5385132,-0.4289703,0.9674835
1.555,-0.5468903,-0.3764038,0.9232941
1.56,-0.5468903,-0.3932266,0.9401169
1.565,-0.5385132,-0.4142532,0.9527664
1.57,-0.5427017,-0.418457,0.9611587
1.575,-0.5322266,-0.4226608,0.9548874
1.58,-0.5406036,-0.4268723,0.9674759
1.585,-0.5468903,-0.4289703,0.9758606
1.59,-0.5301285,-0.4247665,0.954895
1.595,-0.5489883,-0.4247665,0.9737548
1.6,-0.5364151,-0.4268723,0.9632874
1.605,-0.5322266,-0.4268723,0.9590989
1.61,-0.5364151,-0.418457,0.9548721
1.615,-0.5364151,-0.4121475,0.9485626
1.62,-0.5343246,-0.3806076,0.9149322
1.625,-0.5385132,-0.3995361,0.9380493
1.63,-0.5427017,-0.405838,0.9485397
1.635,-0.5468903,-0.4100494,0.9569397
1.64,-0.5468903,-0.4079437,0.954834
1.645,-0.5406036,-0.4121475,0.9527511
1.65,-0.5427017,-0.4142532,0.9569549
1.655,-0.5427017,-0.4163589,0.9590606
1.66,-0.5468903,-0.3995361,0.9464264
1.665,-0.5489883,-0.3953247,0.944313
1.67,-0.5427017,-0.4121475,0.9548492
1.675,-0.5447998,-0.4205627,0.9653625
1.68,-0.5364151,-0.4205627,0.9569778
1.685,-0.5406036,-0.4226608,0.9632644
1.69,-0.5468903,-0.4226608,0.9695511
1.695,-0.5238419,-0.4205627,0.9444046
1.7,-0.5322266,-0.4289703,0.9611969
1.705,-0.5364151,-0.4226608,0.9590759
1.71,-0.5322266,-0.4037399,0.9359665
1.715,-0.5427017,-0.4163589,0.9590606
1.72,-0.5322266,-0.4268723,0.9590989
1.725,-0.5385132,-0.4226608,0.961174
1.73,-0.5385132,-0.418457,0.9569702
1.735,-0.5447998,-0.4205627,0.9653625
1.74,-0.5427017,-0.4121475,0.9548492
1.745,-0.5301285,-0.4163589,0.9464874
1.75,-0.5301285,-0.4163589,0.9464874
1.755,-0.5385132,-0.4247665,0.9632797
1.76,-0.5406036,-0.418457,0.9590606
1.765,-0.5364151,-0.4163589,0.952774
1.77,-0.5364151,-0.4142532,0.9506683
1.775,-0.5385132,-0.418457,0.9569702
1.78,-0.5301285,-0.4226608,0.9527893
1.785,-0.5468903,-0.4142532,0.9611435
1.79,-0.5385132,-0.4226608,0.961174
1.795,-0.5343246,-0.4226608,0.9569854
1.8,-0.5343246,-0.418457,0.9527816
1.805,-0.528038,-0.4163589,0.9443969
1.81,-0.528038,-0.4247665,0.9528045
1.815,-0.5447998,-0.4205627,0.9653625
1.82,-0.5364151,-0.418457,0.9548721
1.825,-0.5343246,-0.418457,0.9527816
1.83,-0.5259399,-0.3953247,0.9212646
1.835,-0.5301285,-0.3995361,0.9296646
1.84,-0.5343246,-0.4205627,0.9548873
1.845,-0.5364151,-0.418457,0.9548721
1.85,-0.5385132,-0.418457,0.9569702
1.855,-0.5447998,-0.4226608,0.9674606
1.86,-0.5427017,-0.4226608,0.9653625
1.865,-0.5364151,-0.4394836,0.9758987
1.87,-0.5364151,-0.3890228,0.9254379
1.875,-0.5427017,-0.4037399,0.9464416
1.88,-0.5489883,-0.4100494,0.9590377
1.885,-0.5468903,-0.4226608,0.9695511
1.89,-0.5322266,-0.418457,0.9506836
1.895,-0.5343246,-0.4226608,0.9569854
1.9,-0.5343246,-0.4289703,0.9632949
1.905,-0.5343246,-0.418457,0.9527816
1.91,-0.5217514,-0.4247665,0.9465179
1.915,-0.5238419,-0.4289703,0.9528122
1.92,-0.528038,-0.4121475,0.9401855
1.925,-0.5238419,-0.4205627,0.9444046
1.93,-0.5259399,-0.4205627,0.9465026
1.935,-0.5238419,-0.418457,0.9422989
1.94,-0.528038,-0.4247665,0.9528045
1.945,-0.528038,-0.418457,0.946495
1.95,-0.5343246,-0.4121475,0.9464721
1.955,-0.5447998,-0.4142532,0.959053
1.96,-0.5364151,-0.418457,0.9548721
1.965,-0.5427017,-0.4268723,0.969574
1.97,-0.5447998,-0.418457,0.9632568
1.975,-0.5385132,-0.4142532,0.9527664
1.98,-0.5531769,-0.3700943,0.9232712
1.985,-0.5447998,-0.3848114,0.9296112
1.99,-0.5468903,-0.4016342,0.9485245
1.995,-0.5427017,-0.4079437,0.9506454
2,-0.5447998,-0.4100494,0.9548492
2.005,-0.5468903,-0.4205627,0.967453
2.01,-0.5385132,-0.3932266,0.9317398
2.015,-0.5301285,-0.4037399,0.9338684
2.02,-0.5364151,-0.405838,0.9422531
2.025,-0.5447998,-0.4100494,0.9548492
2.03,-0.5385132,-0.4205627,0.9590759
2.035,-0.5364151,-0.4163589,0.952774
2.04,-0.5489883,-0.4142532,0.9632415
2.045,-0.5385132,-0.4142532,0.9527664
2.05,-0.5489883,-0.4205627,0.969551
2.055,-0.5385132,-0.4226608,0.961174
