Time (s),PRESSURE_FORCE_X,PRESSURE_FORCE_Y,PRESSURE_FORCE_Z,TOTAL_FORCE_X,TOTAL_FORCE_Y,TOTAL_FORCE_Z,VISCOUS_FORCE_X,VISCOUS_FORCE_Y,VISCOUS_FORCE_Z
"                 467",5.959511048036e-02,4.180894546091e-02,1.723987945205e-02,6.127960112070e-02,5.339994498950e-02,1.800425493733e-02,1.684490640338e-03,1.159099952860e-02,7.643754852773e-04
"                 468",5.942347255060e-02,4.176847050382e-02,1.702267915834e-02,6.076130123219e-02,5.312698146642e-02,1.722665946537e-02,1.337828681587e-03,1.135851096260e-02,2.039803070228e-04
"                 469",5.932206094730e-02,4.174977166205e-02,1.699851590732e-02,6.107250639108e-02,5.528817317195e-02,1.760160630111e-02,1.750445443783e-03,1.353840150990e-02,6.030903937888e-04
"                 470",5.929044654193e-02,4.172947927199e-02,1.709719949110e-02,6.125792329515e-02,5.268382664211e-02,1.778499649593e-02,1.967476753222e-03,1.095434737012e-02,6.877970048312e-04
"                 471",5.940923118318e-02,4.168961656059e-02,1.731892484080e-02,6.090572726055e-02,5.123604672721e-02,1.722359112969e-02,1.496496077371e-03,9.546430166626e-03,-9.533371110853e-05
"                 472",5.957839088353e-02,4.166350096779e-02,1.750570996163e-02,6.181017678791e-02,4.997942833734e-02,1.968491457128e-02,2.231785904376e-03,8.315927369553e-03,2.179204609652e-03
"                 473",5.973689978816e-02,4.165832980256e-02,1.749282067871e-02,6.164262400151e-02,5.093470156793e-02,1.808388488712e-02,1.905724213347e-03,9.276371765367e-03,5.910642084041e-04
"                 474",5.982702079050e-02,4.169056212008e-02,1.732461826074e-02,6.142855701846e-02,5.208216220485e-02,1.876019041045e-02,1.601536227962e-03,1.039160008478e-02,1.435572149711e-03
"                 475",5.983815169081e-02,4.172328703635e-02,1.721966591715e-02,6.109701317394e-02,5.085154005549e-02,1.779206005942e-02,1.258861483135e-03,9.128253019134e-03,5.723941422773e-04
"                 476",5.994456707574e-02,4.170342705151e-02,1.726330695527e-02,6.099999028818e-02,5.309964888015e-02,1.794283541154e-02,1.055423212433e-03,1.139622182865e-02,6.795284562631e-04
