Time (s),FORCE_COEFFICIENT_CD,FORCE_COEFFICIENT_CL,FORCE_COEFFICIENT_CLF,FORCE_COEFFICIENT_CLR,FORCE_COEFFICIENT_CM
"                1540",7.675637852604e-01,1.837198606303e-01,8.508825131798e-02,9.863160931234e-02,-6.771678997179e-03
"                1541",7.578991832952e-01,1.899772096353e-01,8.771265099916e-02,1.022645586361e-01,-7.275953818491e-03
"                1542",7.506915835446e-01,1.899370556426e-01,8.580422641551e-02,1.041328292271e-01,-9.164301405798e-03
"                1543",7.631763263233e-01,2.028651200592e-01,9.018510647680e-02,1.126800135824e-01,-1.124745355278e-02
"                1544",7.793101893975e-01,2.102182017848e-01,8.988046695269e-02,1.203377348321e-01,-1.522863393972e-02
"                1545",7.613569480327e-01,2.055172887238e-01,8.782318154188e-02,1.176941071819e-01,-1.493546282001e-02
"                1546",7.625289862794e-01,2.006023831437e-01,8.388032946224e-02,1.167220536815e-01,-1.642086210960e-02
"                1547",7.591730065521e-01,2.036384080799e-01,8.449551072830e-02,1.191428973516e-01,-1.732369331164e-02
"                1548",7.599424091923e-01,2.041188814275e-01,8.479582545977e-02,1.193230559678e-01,-1.726361525401e-02
"                1549",7.332434705552e-01,2.085036517108e-01,9.061970316850e-02,1.178839485423e-01,-1.363212268689e-02
"                1550",7.485496720501e-01,1.993209580295e-01,8.532591264550e-02,1.139950453840e-01,-1.433456636927e-02
"                1551",7.577426156026e-01,1.977294556692e-01,8.394951414770e-02,1.137799415215e-01,-1.491521368692e-02
"                1552",7.605614352163e-01,2.020528441405e-01,8.647185968058e-02,1.155809844599e-01,-1.455456238966e-02
"                1553",7.611046368215e-01,2.030645964600e-01,8.681548084140e-02,1.162491156186e-01,-1.471681738863e-02
"                1554",7.628290181539e-01,1.980486675376e-01,8.372204725179e-02,1.143266202858e-01,-1.530228651700e-02
"                1555",7.392925089961e-01,1.844553889988e-01,8.325174196865e-02,1.012036470301e-01,-8.975952530730e-03
"                1556",7.687802270689e-01,1.841389781107e-01,8.091432254366e-02,1.032246555671e-01,-1.115516651170e-02
"                1557",7.533293056643e-01,1.925751615841e-01,8.587715055513e-02,1.066980110290e-01,-1.041043023694e-02
"                1558",7.683435395117e-01,1.940929603834e-01,8.685511014271e-02,1.072378502407e-01,-1.019137004897e-02
"                1559",7.552872596006e-01,1.932031248549e-01,8.688442416310e-02,1.063187006918e-01,-9.717138264330e-03
"                1560",7.538721698097e-01,1.900428712838e-01,8.657417385657e-02,1.034686974272e-01,-8.447261785325e-03
"                1561",7.608361436462e-01,1.788327257041e-01,8.301332142271e-02,9.581940428144e-02,-6.403041429369e-03
"                1562",7.603332871369e-01,1.755837929405e-01,8.226245591324e-02,9.332133702727e-02,-5.529440557015e-03
"                1563",7.374949879522e-01,1.715936433494e-01,8.550581410560e-02,8.608782924377e-02,-2.910075690853e-04
"                1564",7.446822269702e-01,1.617519400276e-01,8.118483231557e-02,8.056710771205e-02,3.088623017624e-04
"                1565",7.660541428020e-01,1.604613399810e-01,7.978237923914e-02,8.067896074187e-02,-4.482907513676e-04
"                1566",7.564328972427e-01,1.512235910178e-01,7.649485301605e-02,7.472873800171e-02,8.830575071699e-04
"                1567",7.514773391157e-01,1.505021198109e-01,7.727079635140e-02,7.323132345947e-02,2.019736445966e-03
"                1568",7.593303386827e-01,1.503496250110e-01,7.741376660984e-02,7.293585840117e-02,2.238954104335e-03
"                1569",7.377951428245e-01,1.491103968552e-01,7.889078073939e-02,7.021961611585e-02,4.335582311771e-03
"                1570",7.572446209448e-01,1.347639564669e-01,7.042550827874e-02,6.433844818819e-02,3.043530045275e-03
"                1571",7.462555493449e-01,1.393029837738e-01,7.243819281823e-02,6.686479095559e-02,2.786700931320e-03
"                1572",7.659583207034e-01,1.378348794555e-01,6.973764818637e-02,6.809723126908e-02,8.202084586429e-04
"                1573",7.534485228753e-01,1.367257546483e-01,6.818479783380e-02,6.854095681445e-02,-1.780794903256e-04
"                1574",7.510689732645e-01,1.286090086035e-01,6.858760632524e-02,6.002140227827e-02,4.283102023486e-03
"                1575",7.390885114548e-01,1.404883414595e-01,7.403697040634e-02,6.645137105311e-02,3.792799676613e-03
"                1576",7.414889153304e-01,1.309560470440e-01,6.945320780973e-02,6.150283923426e-02,3.975184287733e-03
"                1577",7.566547529256e-01,1.305483144436e-01,6.759608985583e-02,6.295222458778e-02,2.321932634026e-03
"                1578",7.487490461570e-01,1.091510292045e-01,6.082877472057e-02,4.832225448395e-02,6.253260118311e-03
"                1579",7.553228902173e-01,1.165634840254e-01,6.191662109484e-02,5.464686293055e-02,3.634879082146e-03
"                1580",7.590189300983e-01,1.185045302351e-01,6.138350114399e-02,5.712102909113e-02,2.131236026432e-03
"                1581",7.562270879224e-01,1.238678848125e-01,6.191266634679e-02,6.195521846573e-02,-2.127605947164e-05
"                1582",7.599885260571e-01,1.198128254355e-01,6.054276607964e-02,5.927005935582e-02,6.363533619083e-04
"                1583",7.529080342703e-01,1.288100327395e-01,6.426631549797e-02,6.454371724155e-02,-1.387008717886e-04
"                1584",7.646633398327e-01,1.286884566982e-01,6.358721870310e-02,6.510123799512e-02,-7.570096460093e-04
"                1585",7.793419565007e-01,1.328034900163e-01,6.276006200878e-02,7.004342800750e-02,-3.641682999360e-03
"                1586",7.421466759075e-01,1.408265427293e-01,6.842065695825e-02,7.240588577105e-02,-1.992614406401e-03
"                1587",7.643626281672e-01,1.465655001078e-01,6.913020974253e-02,7.743529036526e-02,-4.152540311365e-03
"                1588",7.549890731713e-01,1.563235759871e-01,7.229671261753e-02,8.402686336956e-02,-5.865075376016e-03
"                1589",7.580765957101e-01,1.587624409073e-01,7.281094430267e-02,8.595149660460e-02,-6.570276150966e-03
"                1590",7.570585987554e-01,1.549669819067e-01,7.256739506514e-02,8.239958684161e-02,-4.916095888234e-03
"                1591",7.661255143543e-01,1.623689566137e-01,7.524856706227e-02,8.712038955143e-02,-5.935911244576e-03
"                1592",7.597418193557e-01,1.532225519167e-01,7.125415882588e-02,8.196839309081e-02,-5.357117132463e-03
"                1593",7.605490911767e-01,1.585258492125e-01,7.494487769944e-02,8.358097151301e-02,-4.318046906784e-03
"                1594",7.434248082348e-01,1.638982125125e-01,7.885259181413e-02,8.504562069842e-02,-3.096514442143e-03
"                1595",7.775591457195e-01,1.543028361235e-01,7.025482448777e-02,8.404801163572e-02,-6.896593573973e-03
"                1596",7.661374044216e-01,1.592460554541e-01,7.399455931174e-02,8.525149614239e-02,-5.628468415330e-03
"                1597",7.630260192176e-01,1.634076801584e-01,7.520434309083e-02,8.820333706760e-02,-6.499496988385e-03
"                1598",7.702309651694e-01,1.649434243989e-01,7.317932122188e-02,9.176410317705e-02,-9.292390977587e-03
"                1599",7.663190829941e-01,1.640769565249e-01,7.403867825062e-02,9.003827827428e-02,-7.999800011830e-03
"                1600",7.625051572953e-01,1.723603338587e-01,7.584138165214e-02,9.651895220655e-02,-1.033878527721e-02
"                1601",7.553204329975e-01,1.809003082257e-01,8.044240713486e-02,1.004579010908e-01,-1.000774697797e-02
"                1602",7.564806103488e-01,1.825144873303e-01,8.067105187228e-02,1.018434354580e-01,-1.058619179288e-02
"                1603",7.568905510060e-01,1.855396650240e-01,8.201550167638e-02,1.035241633476e-01,-1.075433083561e-02
"                1604",7.745481600011e-01,1.911043057215e-01,8.239607798915e-02,1.087082277324e-01,-1.315607487161e-02
"                1605",7.577814163403e-01,1.968027018889e-01,8.563942016880e-02,1.111632817201e-01,-1.276193077566e-02
"                1606",7.530184735470e-01,1.961303260573e-01,8.796610628695e-02,1.081642197704e-01,-1.009905674172e-02
"                1607",7.633955729248e-01,1.969082282796e-01,8.765365249680e-02,1.092545757828e-01,-1.080046164299e-02
"                1608",7.808001077408e-01,1.963576051097e-01,8.604862210035e-02,1.103089830094e-01,-1.213018045450e-02
"                1609",7.537884149063e-01,1.925195948144e-01,8.815121153688e-02,1.043683832775e-01,-8.108585870324e-03
"                1610",7.612462740090e-01,1.991825073425e-01,8.876861503820e-02,1.104138923043e-01,-1.082263863303e-02
"                1611",7.622863058913e-01,1.928330086342e-01,8.683239327738e-02,1.060006153569e-01,-9.584111039737e-03
"                1612",7.654318007295e-01,1.997245510146e-01,9.057562459693e-02,1.091489264177e-01,-9.286650910368e-03
"                1613",7.544181913180e-01,1.980894904681e-01,8.998107035945e-02,1.081084201087e-01,-9.063674874600e-03
"                1614",7.642349017755e-01,2.029098394055e-01,9.124265962070e-02,1.116671797848e-01,-1.021226008203e-02
"                1615",7.487633269878e-01,2.088329713533e-01,9.581092759171e-02,1.130220437616e-01,-8.605558084931e-03
"                1616",7.419422139558e-01,2.141268515654e-01,9.840296966749e-02,1.157238818979e-01,-8.660456115216e-03
"                1617",7.516251134186e-01,2.158327421755e-01,9.932706269085e-02,1.165056794846e-01,-8.589308396890e-03
"                1618",7.379213670825e-01,2.176039929800e-01,1.000477674200e-01,1.175562255600e-01,-8.754229069981e-03
"                1619",7.694734511984e-01,2.113549146457e-01,9.483120011532e-02,1.165237145303e-01,-1.084625720751e-02
"                1620",7.537333968379e-01,2.158858562792e-01,9.721711247158e-02,1.186687438076e-01,-1.072581566803e-02
"                1621",7.543242930408e-01,2.070087305455e-01,9.321603313745e-02,1.137926974080e-01,-1.028833213530e-02
"                1622",7.431046466692e-01,2.097041045539e-01,9.516479134482e-02,1.145393132091e-01,-9.687260932122e-03
"                1623",7.583154318099e-01,1.973171522569e-01,9.018662592793e-02,1.071305263290e-01,-8.471950200516e-03
"                1624",7.540150551847e-01,2.029743734946e-01,9.041589480622e-02,1.125584786884e-01,-1.107129194107e-02
"                1625",7.469393069638e-01,2.003529696278e-01,9.087148798825e-02,1.094814816395e-01,-9.304996825644e-03
"                1626",7.464193946407e-01,2.060842822872e-01,9.387124041165e-02,1.122130418755e-01,-9.170900731947e-03
"                1627",7.506775441722e-01,2.026670013169e-01,8.944582502436e-02,1.132211762925e-01,-1.188767563409e-02
"                1628",7.579397837139e-01,2.048347955212e-01,8.935379977206e-02,1.154809957491e-01,-1.306359798852e-02
"                1629",7.567265205673e-01,2.147333395024e-01,9.264360147881e-02,1.220897380236e-01,-1.472306827239e-02
"                1630",7.487676430789e-01,2.108230644736e-01,9.109244957979e-02,1.197306148938e-01,-1.431908265699e-02
"                1631",7.478049963432e-01,2.143888021568e-01,9.355227562237e-02,1.208365265344e-01,-1.364212545603e-02
"                1632",7.442668489021e-01,2.190543980350e-01,9.569006794533e-02,1.233643300897e-01,-1.383713107217e-02
"                1633",7.452591995407e-01,2.211212477368e-01,9.578086663132e-02,1.253403811055e-01,-1.477975723708e-02
"                1634",7.591048093113e-01,2.165896993470e-01,9.377083392439e-02,1.228188654226e-01,-1.452401574912e-02
"                1635",7.591041805305e-01,2.129031563620e-01,9.119740501746e-02,1.217057513445e-01,-1.525417316352e-02
"                1636",7.046626751596e-01,2.034569857026e-01,9.412552534592e-02,1.093314603567e-01,-7.602967505396e-03
"                1637",7.570233329002e-01,2.077571763308e-01,9.199032813091e-02,1.157668481999e-01,-1.188826003447e-02
"                1638",7.422187831105e-01,2.007981679294e-01,9.072688707774e-02,1.100712808517e-01,-9.672196886975e-03
"                1639",7.343115531528e-01,2.010071100034e-01,9.223235871124e-02,1.087747512921e-01,-8.271196290445e-03
"                1640",7.372992333573e-01,1.964002471653e-01,9.013096234339e-02,1.062692848219e-01,-8.069161239277e-03
"                1641",7.543268214435e-01,1.901518545984e-01,8.417126348444e-02,1.059805911140e-01,-1.090466381477e-02
"                1642",7.413131901958e-01,1.828615058055e-01,8.217670564569e-02,1.006848001598e-01,-9.254047257054e-03
"                1643",7.438612207817e-01,1.892622255112e-01,8.231611555356e-02,1.069461099576e-01,-1.231499720202e-02
"                1644",7.443978886029e-01,1.906429252142e-01,8.382333045243e-02,1.068195947618e-01,-1.149813215468e-02
"                1645",7.352273174969e-01,1.933530633114e-01,8.473466706811e-02,1.086183962433e-01,-1.194186458759e-02
"                1646",7.535572093112e-01,1.867741856088e-01,8.091548609372e-02,1.058586995151e-01,-1.247160671069e-02
"                1647",7.508458522759e-01,1.780401957221e-01,7.734543836513e-02,1.006947573570e-01,-1.167465949592e-02
"                1648",7.476188884589e-01,1.734197534537e-01,7.542550541654e-02,9.799424803713e-02,-1.128437131030e-02
"                1649",7.538881262801e-01,1.658490199111e-01,7.347756168913e-02,9.237145822193e-02,-9.446948266403e-03
"                1650",7.290983981419e-01,1.645648297302e-01,7.499243290009e-02,8.957239683012e-02,-7.289981965019e-03
"                1651",7.614786997923e-01,1.553474741721e-01,6.817071671798e-02,8.717675745414e-02,-9.503020368079e-03
"                1652",7.566545709955e-01,1.531347321146e-01,6.768567880154e-02,8.544905331307e-02,-8.881687255763e-03
"                1653",7.574066084260e-01,1.524729092480e-01,6.779906175237e-02,8.467384749565e-02,-8.437392871638e-03
