Time (s),PRESSURE_MOMENT_X,PRESSURE_MOMENT_Y,PRESSURE_MOMENT_Z,TOTAL_MOMENT_X,TOTAL_MOMENT_Y,TOTAL_MOMENT_Z,VISCOUS_MOMENT_X,VISCOUS_MOMENT_Y,VISCOUS_MOMENT_Z
"                 554",1.821095767175e-03,-1.537855820723e-03,1.860599555256e-03,1.413686591128e-03,-1.598813035521e-03,2.080144135778e-03,-4.074091760474e-04,-6.095721479783e-05,2.195445805214e-04
"                 555",1.804363474595e-03,-1.513270797740e-03,1.967095959600e-03,1.361337937797e-03,-1.574092684816e-03,2.205725145085e-03,-4.430255367987e-04,-6.082188707559e-05,2.386291854843e-04
"                 556",1.777981443543e-03,-1.501797209972e-03,2.088381754188e-03,1.185214615454e-03,-1.496718438427e-03,2.340331497049e-03,-5.927668280887e-04,5.078771544949e-06,2.519497428606e-04
"                 557",1.793295950982e-03,-1.484701214247e-03,2.217448983136e-03,1.356002472648e-03,-1.520200500188e-03,2.427122350460e-03,-4.372934783338e-04,-3.549928594137e-05,2.096733673236e-04
"                 558",1.748775470875e-03,-1.462637518669e-03,2.343943251732e-03,1.424632679611e-03,-1.542353526963e-03,2.695016834834e-03,-3.241427912640e-04,-7.971600829392e-05,3.510735831025e-04
"                 559",1.680369555200e-03,-1.433356519619e-03,2.459150666394e-03,1.193204324767e-03,-1.481155151448e-03,2.636112079042e-03,-4.871652304332e-04,-4.779863182881e-05,1.769614126483e-04
"                 560",1.557065513102e-03,-1.406967758820e-03,2.568999782570e-03,1.059065074725e-03,-1.452043334329e-03,2.775168221833e-03,-4.980004383775e-04,-4.507557550880e-05,2.061684392630e-04
"                 561",1.465789621817e-03,-1.387914319632e-03,2.667005523114e-03,9.929507251551e-04,-1.420508928331e-03,2.845465668125e-03,-4.728388966614e-04,-3.259460869855e-05,1.784601450103e-04
"                 562",1.372075177344e-03,-1.371815949864e-03,2.756733348071e-03,9.663263881267e-04,-1.428104165855e-03,3.032353757062e-03,-4.057487892175e-04,-5.628821599076e-05,2.756204089916e-04
"                 563",1.271128020550e-03,-1.346668369957e-03,2.843571487212e-03,8.277418247016e-04,-1.416089826149e-03,3.046781587895e-03,-4.433861958488e-04,-6.942145619200e-05,2.032101006831e-04
"                 564",1.159921631718e-03,-1.323182462683e-03,2.928077286803e-03,7.139517230228e-04,-1.357673569111e-03,3.325603437260e-03,-4.459699086955e-04,-3.449110642853e-05,3.975261504574e-04
"                 565",9.449005353789e-04,-1.286594834147e-03,3.002847691994e-03,5.839794853154e-04,-1.330160413829e-03,3.097086250169e-03,-3.609210500635e-04,-4.356557968195e-05,9.423855817524e-05
"                 566",8.808489996436e-04,-1.282349099542e-03,3.048546921826e-03,4.354469552080e-04,-1.339526554849e-03,3.169010330084e-03,-4.454020444356e-04,-5.717745530617e-05,1.204634082582e-04
"                 567",8.712788181013e-04,-1.282876919079e-03,3.078345274414e-03,4.449023017308e-04,-1.297381192360e-03,3.213024598415e-03,-4.263765163705e-04,-1.450427328029e-05,1.346793240012e-04
"                 568",8.553723275925e-04,-1.289866544349e-03,3.090857651797e-03,1.976127015541e-04,-1.407639443765e-03,3.140637308491e-03,-6.577596260384e-04,-1.177728994157e-04,4.977965669391e-05
"                 569",8.718139117632e-04,-1.294005417488e-03,3.070379113338e-03,4.130850829761e-04,-1.359690523134e-03,3.295965844585e-03,-4.587288287871e-04,-6.568510564556e-05,2.255867312475e-04
"                 570",8.980135191834e-04,-1.293402364684e-03,3.025285153124e-03,5.215097108394e-04,-1.352794247693e-03,3.049723330022e-03,-3.765038083441e-04,-5.939188300931e-05,2.443817689801e-05
"                 571",9.680119181221e-04,-1.299847267224e-03,2.964127558831e-03,6.293752409113e-04,-1.330934136596e-03,3.152487718331e-03,-3.386366772107e-04,-3.108686937226e-05,1.883601594999e-04
"                 572",9.089682442010e-04,-1.298453895454e-03,2.911487783652e-03,4.761351595257e-04,-1.459160407674e-03,2.831405980796e-03,-4.328330846752e-04,-1.607065122201e-04,-8.008180285531e-05
"                 573",1.002096549600e-03,-1.344749445321e-03,2.843033893880e-03,5.367462014466e-04,-1.411534771412e-03,3.113256361121e-03,-4.653503481534e-04,-6.678532609129e-05,2.702224672406e-04
"                 574",9.882522392158e-04,-1.366137263080e-03,2.774504704699e-03,4.245811766326e-04,-1.684347734093e-03,2.417469907011e-03,-5.636710625832e-04,-3.182104710133e-04,-3.570347976884e-04
"                 575",1.070658591353e-03,-1.410647712937e-03,2.692751255672e-03,5.931916132496e-04,-1.517961327431e-03,2.870695644179e-03,-4.774669781039e-04,-1.073136144946e-04,1.779443885075e-04
"                 576",1.004506301415e-03,-1.414584766364e-03,2.628816908400e-03,5.568863374662e-04,-1.498221050491e-03,2.787685507913e-03,-4.476199639490e-04,-8.363628412700e-05,1.588685995131e-04
"                 577",9.307232135421e-04,-1.427112676223e-03,2.565790897344e-03,6.277350567321e-04,-1.490869431657e-03,2.764822908575e-03,-3.029881568100e-04,-6.375675543409e-05,1.990320112318e-04
